ID,VERSION,REGIST_DATETIME,REGIST_USER,UPDATE_DATETIME,UPDATE_USER,USER_ID,PARENT_ID,TYPE,CATEGORY_NAME,COLOR,ICON_PATH,SORT_ORDER
1,0,2025-02-01 00:00:00,coara,2026-02-15 13:04:05,coara,coara,,expense,食費,#EA6F76,/icon/custom/13-foods/utensils-solid-full.svg,0
2,0,2025-02-01 00:00:00,coara,2025-02-01 00:00:00,coara,coara,,expense,交通費,#408CE5,/icon/custom/07-vehicle/location-arrow-solid-full.svg,2
3,0,2025-02-01 00:00:00,coara,2026-02-12 09:42:21,coara,coara,,expense,交流費・外食費,#F1B224,/icon/custom/02-person/comments-solid-full.svg,5
4,0,2025-02-01 00:00:00,coara,2025-02-01 00:00:00,coara,coara,,income,給与,#F0D22E,/icon/custom/01-money/money-bill-1-regular-full.svg,0
5,0,2025-02-01 00:00:00,coara,2026-02-12 09:49:33,coara,coara,,income,その他,#90A4AE,,5
6,2,2026-02-12 06:51:53,coara,2026-02-27 09:27:40,coara,coara,,expense,消耗品・日用雑貨,#A5CC49,/icon/custom/03-life/jug-detergent-solid-full.svg,1
7,0,2026-02-12 09:42:56,coara,2026-02-12 09:43:52,coara,coara,,expense,交際費,#ED83C3,/icon/custom/02-person/heart-solid-full.svg,6
8,2,2026-02-12 09:44:03,coara,2026-02-27 10:12:44,coara,coara,,expense,趣味・エンタメ,#E39526,/icon/custom/11-hobby/gamepad-solid-full.svg,3
9,0,2026-02-12 09:45:59,coara,2026-02-12 09:45:59,coara,coara,,expense,教育・仕事,#59B97D,/icon/custom/06-work/briefcase-solid-full.svg,7
10,0,2026-02-12 09:46:30,coara,2026-02-12 09:46:30,coara,coara,,expense,美容・衣服,#C271ED,/icon/custom/03-life/shirt-solid-full.svg,4
11,0,2026-02-12 09:46:57,coara,2026-02-12 09:46:57,coara,coara,,expense,医療費・保険料,#57A6B8,/icon/custom/04-buildings/hospital-solid-full.svg,8
12,0,2026-02-12 09:47:15,coara,2026-02-12 09:47:15,coara,coara,,expense,通信費,#79AFED,/icon/custom/03-life/wifi-solid-full.svg,9
13,0,2026-02-12 09:47:33,coara,2026-02-12 09:47:33,coara,coara,,expense,家賃,#8953E9,/icon/custom/04-buildings/house-solid-full.svg,10
14,0,2026-02-12 09:47:50,coara,2026-02-12 09:47:50,coara,coara,,expense,水道光熱費,#607D8B,/icon/custom/03-life/faucet-solid-full.svg,11
15,0,2026-02-12 09:48:14,coara,2026-02-12 09:48:14,coara,coara,,expense,家具・家電,#5C71DA,/icon/custom/03-life/couch-solid-full.svg,12
16,0,2026-02-12 09:48:32,coara,2026-02-12 09:48:32,coara,coara,,expense,その他,#90A4AE,,13
17,0,2026-02-12 09:49:48,coara,2026-02-12 09:49:48,coara,coara,,income,賞与・ボーナス,#F1B224,/icon/custom/01-money/money-bills-solid-full.svg,1
18,0,2026-02-12 09:50:26,coara,2026-02-12 09:50:26,coara,coara,,income,借金,#C83239,/icon/custom/03-life/fire-solid-full.svg,3
19,0,2026-02-12 09:50:37,coara,2026-02-12 09:50:37,coara,coara,,income,臨時収入,#E39526,/icon/custom/01-money/database-solid-full.svg,2
20,0,2026-02-12 09:51:06,coara,2026-02-12 09:51:06,coara,coara,,income,事業所得,#408CE5,/icon/custom/01-money/cash-app-brands-solid-full.svg,4
21,0,2026-02-12 09:52:34,coara,2026-02-14 12:15:28,coara,coara,,transfer,立替,#ECB567,/icon/custom/01-money/yen-sign-solid-full.svg,1
22,0,2026-02-12 09:52:50,coara,2026-02-14 13:03:21,coara,coara,,transfer,チャージ,#FDA38F,/icon/custom/99-others/circle-dot-solid-full.svg,0
23,0,2026-02-12 09:53:02,coara,2026-02-14 12:37:15,coara,coara,,transfer,銀行引き出し,#C0DB80,/icon/custom/99-others/cloud-arrow-down-solid-full.svg,2
24,0,2026-02-14 12:08:42,coara,2026-02-14 12:08:42,coara,coara,,transfer,銀行預け入れ,#79AFED,/icon/custom/99-others/cloud-arrow-up-solid-full.svg,3
25,0,2026-02-27 00:00:00,panda,2026-02-27 00:00:00,panda,panda,,expense,食費,#EA6F76,/icon/custom/13-foods/utensils-solid-full.svg,0
26,0,2026-02-27 00:00:00,panda,2026-02-27 00:00:00,panda,panda,,expense,交通費,#408CE5,/icon/custom/07-vehicle/location-arrow-solid-full.svg,2
27,0,2026-02-27 00:00:00,panda,2026-02-27 00:00:00,panda,panda,,expense,交流費・外食費,#F1B224,/icon/custom/02-person/comments-solid-full.svg,5
28,0,2026-02-27 00:00:00,panda,2026-02-27 00:00:00,panda,panda,,income,給与,#F0D22E,/icon/custom/01-money/money-bill-1-regular-full.svg,0
29,0,2026-02-27 00:00:00,panda,2026-02-27 00:00:00,panda,panda,,income,その他,#90A4AE,,5
30,0,2026-02-27 00:00:00,panda,2026-02-27 00:00:00,panda,panda,,expense,消耗品・日用雑貨,#A5CC49,/icon/custom/03-life/jug-detergent-solid-full.svg,1
31,0,2026-02-27 00:00:00,panda,2026-02-27 00:00:00,panda,panda,,expense,交際費,#ED83C3,/icon/custom/02-person/heart-solid-full.svg,6
32,0,2026-02-27 00:00:00,panda,2026-02-27 00:00:00,panda,panda,,expense,趣味・エンタメ,#E39526,/icon/custom/11-hobby/gamepad-solid-full.svg,3
33,0,2026-02-27 00:00:00,panda,2026-02-27 00:00:00,panda,panda,,expense,教育・仕事,#59B97D,/icon/custom/06-work/briefcase-solid-full.svg,7
34,0,2026-02-27 00:00:00,panda,2026-02-27 00:00:00,panda,panda,,expense,美容・衣服,#C271ED,/icon/custom/03-life/shirt-solid-full.svg,4
35,0,2026-02-27 00:00:00,panda,2026-02-27 00:00:00,panda,panda,,expense,医療費・保険料,#57A6B8,/icon/custom/04-buildings/hospital-solid-full.svg,8
36,0,2026-02-27 00:00:00,panda,2026-02-27 00:00:00,panda,panda,,expense,通信費,#79AFED,/icon/custom/03-life/wifi-solid-full.svg,9
37,0,2026-02-27 00:00:00,panda,2026-02-27 00:00:00,panda,panda,,expense,家賃,#8953E9,/icon/custom/04-buildings/house-solid-full.svg,10
38,0,2026-02-27 00:00:00,panda,2026-02-27 00:00:00,panda,panda,,expense,水道光熱費,#607D8B,/icon/custom/03-life/faucet-solid-full.svg,11
39,0,2026-02-27 00:00:00,panda,2026-02-27 00:00:00,panda,panda,,expense,家具・家電,#5C71DA,/icon/custom/03-life/couch-solid-full.svg,12
40,0,2026-02-27 00:00:00,panda,2026-02-27 00:00:00,panda,panda,,expense,その他,#90A4AE,,13
41,0,2026-02-27 00:00:00,panda,2026-02-27 00:00:00,panda,panda,,income,賞与・ボーナス,#F1B224,/icon/custom/01-money/money-bills-solid-full.svg,1
42,0,2026-02-27 00:00:00,panda,2026-02-27 00:00:00,panda,panda,,income,借金,#C83239,/icon/custom/03-life/fire-solid-full.svg,3
43,0,2026-02-27 00:00:00,panda,2026-02-27 00:00:00,panda,panda,,income,臨時収入,#E39526,/icon/custom/01-money/database-solid-full.svg,2
44,0,2026-02-27 00:00:00,panda,2026-02-27 00:00:00,panda,panda,,income,事業所得,#408CE5,/icon/custom/01-money/cash-app-brands-solid-full.svg,4
